title,summary_impact,json,link
"ĐHĐCĐ MIC: Lợi nhuận mục tiêu tăng 75%, đầu tư nhiều hơn vào cổ phiếu, trái phiếu","Mục tiêu lợi nhuận tăng 75% và đầu tư mạnh vào cổ phiếu, trái phiếu tạo kỳ vọng tăng trưởng doanh thu và lợi nhuận, tác động tích cực đến định giá DCF.","{
  ""title"": ""ĐHĐCĐ MIC: Lợi nhuận mục tiêu tăng 75%, đầu tư nhiều hơn vào cổ phiếu, trái phiếu"",
  ""summary_impact"": ""Mục tiêu lợi nhuận tăng 75% và đầu tư mạnh vào cổ phiếu, trái phiếu tạo kỳ vọng tăng trưởng doanh thu và lợi nhuận, tác động tích cực đến định giá DCF."",
  ""REV_DEMAND"": {
    ""GUIDANCE_EARNINGS"": ""Lợi nhuận mục tiêu tăng 75%."",
    ""CONTRACTS_BACKLOG"": ""NONE"",
    ""COMPETITION_SHARE"": ""Top 4 thị phần""
  },
  ""COST_MARGIN"": {
    ""COMMODITIES_INPUTS"": ""Giá nguyên vật liệu tăng mạnh"",
    ""FX_LOGISTICS_LABOR"": ""NONE"",
    ""TAX_DEPRECIATION_POLICY"": ""NONE""
  },
  ""CAPEX_NWC"": {
    ""CAPEX_PROJECTS"": ""Hoãn dự án xây dựng nhà máy mới"",
    ""WORKING_CAPITAL"": ""NONE"",
    ""ASSET_SALES_IMPAIRMENT"": ""NONE""
  },
  ""CAPITAL_WACC"": {
    ""INTEREST_RATES_CREDIT"": ""Lãi suất vay cao ảnh hưởng chi phí vốn"",
    ""EQUITY_ISSUANCE_BUYBACK"": ""NONE"",
    ""BETA_MRP_VOL"": ""NONE""
  },
  ""LT_GROWTH_TERMINAL"": {
    ""MACRO_GDP_CPI"": ""NONE"",
    ""REGULATION_POLICY"": ""NONE"",
    ""ESG_GOVERNANCE_EVENTS"": ""NONE""
  }
}",https://baodautu.vn/dhdcd-mic-loi-nhuan-muc-tieu-tang-75-dau-tu-nhieu-hon-vao-co-phieu-trai-phieu-d260761.html
Bảo hiểm Quân đội (MIC) ký hợp đồng bảo hiểm với Vincom Nguyễn Chí Thanh,"Hợp đồng bảo hiểm dự án TTTM Vincom Nguyễn Chí Thanh giảm rủi ro tài sản và gián đoạn kinh doanh, làm tăng tính thanh khoản và giảm rủi ro cho DCF.","{
  ""title"": ""Bảo hiểm Quân đội (MIC) ký hợp đồng bảo hiểm với Vincom Nguyễn Chí Thanh"",
  ""summary_impact"": ""Hợp đồng bảo hiểm dự án TTTM Vincom Nguyễn Chí Thanh giảm rủi ro tài sản và gián đoạn kinh doanh, làm tăng tính thanh khoản và giảm rủi ro cho DCF."",
  ""REV_DEMAND"": {
    ""GUIDANCE_EARNINGS"": ""NONE"",
    ""CONTRACTS_BACKLOG"": ""NONE"",
    ""COMPETITION_SHARE"": ""NONE""
  },
  ""COST_MARGIN"": {
    ""COMMODITIES_INPUTS"": ""NONE"",
    ""FX_LOGISTICS_LABOR"": ""NONE"",
    ""TAX_DEPRECIATION_POLICY"": ""NONE""
  },
  ""CAPEX_NWC"": {
    ""CAPEX_PROJECTS"": ""NONE"",
    ""WORKING_CAPITAL"": ""NONE"",
    ""ASSET_SALES_IMPAIRMENT"": ""NONE""
  },
  ""CAPITAL_WACC"": {
    ""INTEREST_RATES_CREDIT"": ""NONE"",
    ""EQUITY_ISSUANCE_BUYBACK"": ""NONE"",
    ""BETA_MRP_VOL"": ""NONE""
  },
  ""LT_GROWTH_TERMINAL"": {
    ""MACRO_GDP_CPI"": ""NONE"",
    ""REGULATION_POLICY"": ""NONE"",
    ""ESG_GOVERNANCE_EVENTS"": ""NONE""
  }
}",https://cafef.vn/doanh-nghiep-gioi-thieu/bao-hiem-quan-doi-mic-ky-hop-dong-bao-hiem-voi-vincom-nguyen-chi-thanh-20151209121306464.chn
MIC công bố ông Trần Minh Đạt đảm nhận vị trí Chủ tịch HĐQT,"Công bố bổ nhiệm Chủ tịch HĐQT tăng cường niềm tin cổ đông, hỗ trợ chiến lược phát triển bền vững và tăng trưởng doanh thu, lợi nhuận trong giai đoạn 2025–2027.","{
  ""title"": ""MIC công bố ông Trần Minh Đạt đảm nhận vị trí Chủ tịch HĐQT"",
  ""summary_impact"": ""Công bố bổ nhiệm Chủ tịch HĐQT tăng cường niềm tin cổ đông, hỗ trợ chiến lược phát triển bền vững và tăng trưởng doanh thu, lợi nhuận trong giai đoạn 2025–2027."",
  ""REV_DEMAND"": {
    ""GUIDANCE_EARNINGS"": ""Tăng trưởng 25% doanh thu bảo hiểm năm 2025"",
    ""CONTRACTS_BACKLOG"": ""NONE"",
    ""COMPETITION_SHARE"": ""NONE""
  },
  ""COST_MARGIN"": {
    ""COMMODITIES_INPUTS"": ""Giá nguyên vật liệu tăng mạnh"",
    ""FX_LOGISTICS_LABOR"": ""NONE"",
    ""TAX_DEPRECIATION_POLICY"": ""NONE""
  },
  ""CAPEX_NWC"": {
    ""CAPEX_PROJECTS"": ""NONE"",
    ""WORKING_CAPITAL"": ""NONE"",
    ""ASSET_SALES_IMPAIRMENT"": ""NONE""
  },
  ""CAPITAL_WACC"": {
    ""INTEREST_RATES_CREDIT"": ""NONE"",
    ""EQUITY_ISSUANCE_BUYBACK"": ""NONE"",
    ""BETA_MRP_VOL"": ""NONE""
  },
  ""LT_GROWTH_TERMINAL"": {
    ""MACRO_GDP_CPI"": ""NONE"",
    ""REGULATION_POLICY"": ""NONE"",
    ""ESG_GOVERNANCE_EVENTS"": ""NONE""
  }
}",https://vietstock.vn/2025/04/mic-cong-bo-ong-tran-minh-dat-dam-nhan-vi-tri-chu-tich-hdqt-214-1298052.htm
MIG chuẩn bị chia cổ tức và điều chỉnh đầu tư dự án MIC Tower,"Chia cổ tức 10% (5% tiền mặt, 5% cổ phiếu) và điều chỉnh tiến độ dự án MIC Tower ảnh hưởng đến dòng tiền và chi phí đầu tư, tác động đến định giá DCF.","{
  ""title"": ""MIG chuẩn bị chia cổ tức và điều chỉnh đầu tư dự án MIC Tower"",
  ""summary_impact"": ""Chia cổ tức 10% (5% tiền mặt, 5% cổ phiếu) và điều chỉnh tiến độ dự án MIC Tower ảnh hưởng đến dòng tiền và chi phí đầu tư, tác động đến định giá DCF."",
  ""REV_DEMAND"": {
    ""GUIDANCE_EARNINGS"": ""Tổng tỷ lệ cổ tức năm 2024 là 10%"",
    ""CONTRACTS_BACKLOG"": ""NONE"",
    ""COMPETITION_SHARE"": ""NONE""
  },
  ""COST_MARGIN"": {
    ""COMMODITIES_INPUTS"": ""Giá nguyên vật liệu tăng mạnh"",
    ""FX_LOGISTICS_LABOR"": ""NONE"",
    ""TAX_DEPRECIATION_POLICY"": ""NONE""
  },
  ""CAPEX_NWC"": {
    ""CAPEX_PROJECTS"": ""Điều chỉnh tiến độ và tổng mức đầu tư dự án MIC Tower"",
    ""WORKING_CAPITAL"": ""NONE"",
    ""ASSET_SALES_IMPAIRMENT"": ""NONE""
  },
  ""CAPITAL_WACC"": {
    ""INTEREST_RATES_CREDIT"": ""Lãi suất vay cao ảnh hưởng chi phí vốn"",
    ""EQUITY_ISSUANCE_BUYBACK"": ""NONE"",
    ""BETA_MRP_VOL"": ""NONE""
  },
  ""LT_GROWTH_TERMINAL"": {
    ""MACRO_GDP_CPI"": ""NONE"",
    ""REGULATION_POLICY"": ""NONE"",
    ""ESG_GOVERNANCE_EVENTS"": ""NONE""
  }
}",https://vietstock.vn/2025/06/mig-chuan-bi-chia-co-tuc-va-dieu-chinh-dau-tu-du-an-mic-tower-737-1321541.htm
Bảo hiểm Quân đội (MIC) phát hành thêm 46 triệu cổ phiếu ra công chúng,"Sử dụng vốn huy động 460 tỷ đồng để đầu tư công nghệ thông tin và hoạt động tài chính, có thể ảnh hưởng đến chi phí vốn (WACC) và tốc độ tăng trưởng (LT_GROWTH_TERMINAL).","{
  ""title"": ""Bảo hiểm Quân đội (MIC) phát hành thêm 46 triệu cổ phiếu ra công chúng"",
  ""summary_impact"": ""Sử dụng vốn huy động 460 tỷ đồng để đầu tư công nghệ thông tin và hoạt động tài chính, có thể ảnh hưởng đến chi phí vốn (WACC) và tốc độ tăng trưởng (LT_GROWTH_TERMINAL)."",
  ""REV_DEMAND"": {
    ""GUIDANCE_EARNINGS"": ""NONE"",
    ""CONTRACTS_BACKLOG"": ""NONE"",
    ""COMPETITION_SHARE"": ""NONE""
  },
  ""COST_MARGIN"": {
    ""COMMODITIES_INPUTS"": ""NONE"",
    ""FX_LOGISTICS_LABOR"": ""NONE"",
    ""TAX_DEPRECIATION_POLICY"": ""NONE""
  },
  ""CAPEX_NWC"": {
    ""CAPEX_PROJECTS"": ""NONE"",
    ""WORKING_CAPITAL"": ""NONE"",
    ""ASSET_SALES_IMPAIRMENT"": ""NONE""
  },
  ""CAPITAL_WACC"": {
    ""INTEREST_RATES_CREDIT"": ""NONE"",
    ""EQUITY_ISSUANCE_BUYBACK"": ""NONE"",
    ""BETA_MRP_VOL"": ""NONE""
  },
  ""LT_GROWTH_TERMINAL"": {
    ""MACRO_GDP_CPI"": ""NONE"",
    ""REGULATION_POLICY"": ""NONE"",
    ""ESG_GOVERNANCE_EVENTS"": ""NONE""
  }
}",https://www.tinnhanhchungkhoan.vn/bao-hiem-quan-doi-mic-phat-hanh-them-46-trieu-co-phieu-ra-cong-chung-post205255.html
"Bảo hiểm Quân đội (MIG) phát hành gần 30 triệu cổ phiếu, giá bán bằng 1/2 thị giá","Phát hành cổ phiếu với giá bán bằng 1/2 thị giá làm tăng kỳ vọng giá trị cổ phiếu, ảnh hưởng tiêu cực đến định giá DCF do chi phí phát hành và rủi ro thị trường.","{
  ""title"": ""Bảo hiểm Quân đội (MIG) phát hành gần 30 triệu cổ phiếu, giá bán bằng 1/2 thị giá"",
  ""summary_impact"": ""Phát hành cổ phiếu với giá bán bằng 1/2 thị giá làm tăng kỳ vọng giá trị cổ phiếu, ảnh hưởng tiêu cực đến định giá DCF do chi phí phát hành và rủi ro thị trường."",
  ""REV_DEMAND"": {
    ""GUIDANCE_EARNINGS"": ""NONE"",
    ""CONTRACTS_BACKLOG"": ""NONE"",
    ""COMPETITION_SHARE"": ""NONE""
  },
  ""COST_MARGIN"": {
    ""COMMODITIES_INPUTS"": ""NONE"",
    ""FX_LOGISTICS_LABOR"": ""NONE"",
    ""TAX_DEPRECIATION_POLICY"": ""NONE""
  },
  ""CAPEX_NWC"": {
    ""CAPEX_PROJECTS"": ""NONE"",
    ""WORKING_CAPITAL"": ""NONE"",
    ""ASSET_SALES_IMPAIRMENT"": ""NONE""
  },
  ""CAPITAL_WACC"": {
    ""INTEREST_RATES_CREDIT"": ""NONE"",
    ""EQUITY_ISSUANCE_BUYBACK"": ""NONE"",
    ""BETA_MRP_VOL"": ""NONE""
  },
  ""LT_GROWTH_TERMINAL"": {
    ""MACRO_GDP_CPI"": ""NONE"",
    ""REGULATION_POLICY"": ""NONE"",
    ""ESG_GOVERNANCE_EVENTS"": ""NONE""
  }
}",https://www.tinnhanhchungkhoan.vn/bao-hiem-quan-doi-mig-phat-hanh-gan-30-trieu-co-phieu-gia-ban-bang-12-thi-gia-post359302.html
"Tikop hợp tác cùng bảo hiểm Quân Đội (MIC), gia tăng giá trị an toàn tích lũy và đầu tư","Hợp tác với Bảo hiểm Quân Đội (MIC) nâng cao an toàn tài sản và hiệu quả đầu tư tại Tikop, cải thiện kỳ vọng dòng tiền tương lai, tác động tích cực đến định giá DCF.","{
  ""title"": ""Tikop hợp tác cùng bảo hiểm Quân Đội (MIC), gia tăng giá trị an toàn tích lũy và đầu tư"",
  ""summary_impact"": ""Hợp tác với Bảo hiểm Quân Đội (MIC) nâng cao an toàn tài sản và hiệu quả đầu tư tại Tikop, cải thiện kỳ vọng dòng tiền tương lai, tác động tích cực đến định giá DCF."",
  ""REV_DEMAND"": {
    ""GUIDANCE_EARNINGS"": ""NONE"",
    ""CONTRACTS_BACKLOG"": ""NONE"",
    ""COMPETITION_SHARE"": ""NONE""
  },
  ""COST_MARGIN"": {
    ""COMMODITIES_INPUTS"": ""NONE"",
    ""FX_LOGISTICS_LABOR"": ""NONE"",
    ""TAX_DEPRECIATION_POLICY"": ""NONE""
  },
  ""CAPEX_NWC"": {
    ""CAPEX_PROJECTS"": ""NONE"",
    ""WORKING_CAPITAL"": ""NONE"",
    ""ASSET_SALES_IMPAIRMENT"": ""NONE""
  },
  ""CAPITAL_WACC"": {
    ""INTEREST_RATES_CREDIT"": ""NONE"",
    ""EQUITY_ISSUANCE_BUYBACK"": ""NONE"",
    ""BETA_MRP_VOL"": ""NONE""
  },
  ""LT_GROWTH_TERMINAL"": {
    ""MACRO_GDP_CPI"": ""NONE"",
    ""REGULATION_POLICY"": ""NONE"",
    ""ESG_GOVERNANCE_EVENTS"": ""NONE""
  }
}",https://cafef.vn/tikop-hop-tac-cung-bao-hiem-quan-doi-mic-gia-tang-gia-tri-an-toan-tich-luy-va-dau-tu-20210327174306566.chn
MIC và MB hợp tác chăm sóc khách hàng VIP,"Hợp tác cung cấp sản phẩm bảo hiểm chăm sóc y tế cao cấp cho khách hàng VIP tăng kỳ vọng dòng tiền, tác động tích cực đến định giá DCF.","{
  ""title"": ""MIC và MB hợp tác chăm sóc khách hàng VIP"",
  ""summary_impact"": ""Hợp tác cung cấp sản phẩm bảo hiểm chăm sóc y tế cao cấp cho khách hàng VIP tăng kỳ vọng dòng tiền, tác động tích cực đến định giá DCF."",
  ""REV_DEMAND"": {
    ""GUIDANCE_EARNINGS"": ""Mức phí ưu đãi giảm 20%."",
    ""CONTRACTS_BACKLOG"": ""NONE"",
    ""COMPETITION_SHARE"": ""NONE""
  },
  ""COST_MARGIN"": {
    ""COMMODITIES_INPUTS"": ""NONE"",
    ""FX_LOGISTICS_LABOR"": ""NONE"",
    ""TAX_DEPRECIATION_POLICY"": ""NONE""
  },
  ""CAPEX_NWC"": {
    ""CAPEX_PROJECTS"": ""NONE"",
    ""WORKING_CAPITAL"": ""NONE"",
    ""ASSET_SALES_IMPAIRMENT"": ""NONE""
  },
  ""CAPITAL_WACC"": {
    ""INTEREST_RATES_CREDIT"": ""NONE"",
    ""EQUITY_ISSUANCE_BUYBACK"": ""NONE"",
    ""BETA_MRP_VOL"": ""NONE""
  },
  ""LT_GROWTH_TERMINAL"": {
    ""MACRO_GDP_CPI"": ""NONE"",
    ""REGULATION_POLICY"": ""NONE"",
    ""ESG_GOVERNANCE_EVENTS"": ""NONE""
  }
}",https://www.tinnhanhchungkhoan.vn/mic-va-mb-hop-tac-cham-soc-khach-hang-vip-post95755.html
"MIC lãi 6 tháng tăng 50%, bảo hiểm xe cơ giới là doanh thu chủ lực","Doanh thu từ bảo hiểm xe cơ giới và con người là trụ cột doanh thu của MIC, tăng trưởng ổn định, tác động tích cực đến định giá DCF.","{
  ""title"": ""MIC lãi 6 tháng tăng 50%, bảo hiểm xe cơ giới là doanh thu chủ lực"",
  ""summary_impact"": ""Doanh thu từ bảo hiểm xe cơ giới và con người là trụ cột doanh thu của MIC, tăng trưởng ổn định, tác động tích cực đến định giá DCF."",
  ""REV_DEMAND"": {
    ""GUIDANCE_EARNINGS"": ""Doanh thu phí bảo hiểm gốc và thuần từ kinh doanh bảo hiểm tăng 7% và 10,8% YoY."",
    ""CONTRACTS_BACKLOG"": ""NONE"",
    ""COMPETITION_SHARE"": ""Bảo hiểm xe cơ giới là trụ cột doanh thu, chiếm 35,6% tổng doanh thu.""
  },
  ""COST_MARGIN"": {
    ""COMMODITIES_INPUTS"": ""Giá nguyên vật liệu tăng mạnh."",
    ""FX_LOGISTICS_LABOR"": ""Có thể chịu rủi ro tỷ giá khi xuất khẩu sang EU."",
    ""TAX_DEPRECIATION_POLICY"": ""NONE""
  },
  ""CAPEX_NWC"": {
    ""CAPEX_PROJECTS"": ""Hoãn dự án xây dựng nhà máy mới."",
    ""WORKING_CAPITAL"": ""NONE"",
    ""ASSET_SALES_IMPAIRMENT"": ""NONE""
  },
  ""CAPITAL_WACC"": {
    ""INTEREST_RATES_CREDIT"": ""NONE"",
    ""EQUITY_ISSUANCE_BUYBACK"": ""NONE"",
    ""BETA_MRP_VOL"": ""NONE""
  },
  ""LT_GROWTH_TERMINAL"": {
    ""MACRO_GDP_CPI"": ""NONE"",
    ""REGULATION_POLICY"": ""NONE"",
    ""ESG_GOVERNANCE_EVENTS"": ""NONE""
  }
}",https://mekongasean.vn/mic-lai-6-thang-tang-50-bao-hiem-xe-co-gioi-la-doanh-thu-chu-luc-44021.html
"Bảo hiểm Quân đội (MIC): Quý I/2025, lợi nhuận trước thuế ước đạt 125,6 tỷ đồng, tăng trưởng 31%","Kết quả lợi nhuận tăng 31% và doanh thu bảo hiểm tăng trưởng 31% trong quý I/2025 làm tăng kỳ vọng dòng tiền tương lai, tác động tích cực đến định giá DCF.","{
  ""title"": ""Bảo hiểm Quân đội (MIC): Quý I/2025, lợi nhuận trước thuế ước đạt 125,6 tỷ đồng, tăng trưởng 31%"",
  ""summary_impact"": ""Kết quả lợi nhuận tăng 31% và doanh thu bảo hiểm tăng trưởng 31% trong quý I/2025 làm tăng kỳ vọng dòng tiền tương lai, tác động tích cực đến định giá DCF."",
  ""REV_DEMAND"": {
    ""GUIDANCE_EARNINGS"": ""Lợi nhuận trước thuế ước đạt 125,6 tỷ đồng, tăng trưởng 31%"",
    ""CONTRACTS_BACKLOG"": ""NONE"",
    ""COMPETITION_SHARE"": ""NONE""
  },
  ""COST_MARGIN"": {
    ""COMMODITIES_INPUTS"": ""Giá nguyên vật liệu tăng mạnh"",
    ""FX_LOGISTICS_LABOR"": ""NONE"",
    ""TAX_DEPRECIATION_POLICY"": ""NONE""
  },
  ""CAPEX_NWC"": {
    ""CAPEX_PROJECTS"": ""Hoãn dự án xây dựng nhà máy mới"",
    ""WORKING_CAPITAL"": ""NONE"",
    ""ASSET_SALES_IMPAIRMENT"": ""NONE""
  },
  ""CAPITAL_WACC"": {
    ""INTEREST_RATES_CREDIT"": ""NONE"",
    ""EQUITY_ISSUANCE_BUYBACK"": ""NONE"",
    ""BETA_MRP_VOL"": ""NONE""
  },
  ""LT_GROWTH_TERMINAL"": {
    ""MACRO_GDP_CPI"": ""NONE"",
    ""REGULATION_POLICY"": ""NONE"",
    ""ESG_GOVERNANCE_EVENTS"": ""NONE""
  }
}",https://www.tinnhanhchungkhoan.vn/bao-hiem-quan-doi-mic-quy-i2025-loi-nhuan-truoc-thue-uoc-dat-1256-ty-dong-tang-truong-31-post368087.html
